event,date,title,start_time,end_time,assignee,color,notes
Create - 3rd Year Anniversary,2026-05-03,Call Time / Arrival,13:00,13:20,ALL,slate,2nd Floor
Create - 3rd Year Anniversary,2026-05-03,Set-up / Sound Check,13:20,13:40,Logistics / IT,blue,
Create - 3rd Year Anniversary,2026-05-03,Corporate Prayer,13:40,14:00,CHI / ALL,purple,
Create - 3rd Year Anniversary,2026-05-03,Worship,14:00,14:15,Worship Team,yellow,
Create - 3rd Year Anniversary,2026-05-03,Ice Breaker / Interaction,14:15,14:25,LEO / Host,green,
Create - 3rd Year Anniversary,2026-05-03,Testimony,14:25,14:35,Assigned,orange,
Create - 3rd Year Anniversary,2026-05-03,The Word,14:35,15:25,Pastor / Guest,red,
Create - 3rd Year Anniversary,2026-05-03,Altar Call / Prayer,15:25,15:40,PM Team,pink,
Create - 3rd Year Anniversary,2026-05-03,Photo Ops / Closing,15:40,16:00,Media / Host,slate,
Create - 3rd Year Anniversary,2026-05-10,Call Time / Arrival,13:00,13:20,ALL,slate,2nd Floor | Guest: Rev. Honn Lyndon Gutierrez
Create - 3rd Year Anniversary,2026-05-10,Set-up / Sound Check,13:20,13:40,Logistics / IT,blue,
Create - 3rd Year Anniversary,2026-05-10,Corporate Prayer,13:40,14:00,CHI / ALL,purple,
Create - 3rd Year Anniversary,2026-05-10,Worship,14:00,14:15,Worship Team,yellow,
Create - 3rd Year Anniversary,2026-05-10,Ice Breaker / Interaction,14:15,14:25,LEO / Host,green,
Create - 3rd Year Anniversary,2026-05-10,Testimony,14:25,14:35,Assigned,orange,
Create - 3rd Year Anniversary,2026-05-10,The Word,14:35,15:25,Rev. Honn Lyndon Gutierrez,red,Guest speaker
Create - 3rd Year Anniversary,2026-05-10,Altar Call / Prayer,15:25,15:40,PM Team,pink,
Create - 3rd Year Anniversary,2026-05-10,Photo Ops / Closing,15:40,16:00,Media / Host,slate,
Create - 3rd Year Anniversary,2026-05-17,Call Time / Arrival,13:00,13:20,ALL,slate,Pending Location
Create - 3rd Year Anniversary,2026-05-17,Set-up / Sound Check,13:20,13:40,Logistics / IT,blue,
Create - 3rd Year Anniversary,2026-05-17,Corporate Prayer,13:40,14:00,CHI / ALL,purple,
Create - 3rd Year Anniversary,2026-05-17,Worship,14:00,14:15,Worship Team,yellow,
Create - 3rd Year Anniversary,2026-05-17,Ice Breaker / Interaction,14:15,14:25,LEO / Host,green,
Create - 3rd Year Anniversary,2026-05-17,Testimony,14:25,14:35,Assigned,orange,
Create - 3rd Year Anniversary,2026-05-17,The Word,14:35,15:25,Pastor / Guest,red,Pending
Create - 3rd Year Anniversary,2026-05-17,Altar Call / Prayer,15:25,15:40,PM Team,pink,
Create - 3rd Year Anniversary,2026-05-17,Photo Ops / Closing,15:40,16:00,Media / Host,slate,
Create - 3rd Year Anniversary,2026-05-24,Call Time / Arrival,09:00,09:20,ALL,slate,2nd Floor | Guest: Bishop Jon Espanola
Create - 3rd Year Anniversary,2026-05-24,Set-up / Sound Check,09:20,09:40,Logistics / IT,blue,
Create - 3rd Year Anniversary,2026-05-24,Corporate Prayer,09:40,10:00,CHI / ALL,purple,
Create - 3rd Year Anniversary,2026-05-24,Worship,10:00,10:20,Worship Team,yellow,
Create - 3rd Year Anniversary,2026-05-24,Testimony,10:20,10:30,Assigned,orange,
Create - 3rd Year Anniversary,2026-05-24,The Word,10:30,11:30,Bishop Jon Espanola,red,Guest speaker
Create - 3rd Year Anniversary,2026-05-24,Altar Call / Andrew Award,11:30,11:45,PM / Chi,pink,Andrew Award included
Create - 3rd Year Anniversary,2026-05-24,Photo Ops / Closing,11:45,12:00,Media,slate,
Create - 3rd Year Anniversary,2026-05-31,Call Time / Arrival,12:00,12:20,ALL,slate,1st Floor
Create - 3rd Year Anniversary,2026-05-31,Set-up / Sound Check,12:20,12:40,Logistics / IT,blue,
Create - 3rd Year Anniversary,2026-05-31,Corporate Prayer,12:40,13:00,CHI / ALL,purple,
Create - 3rd Year Anniversary,2026-05-31,Worship,13:00,13:15,Worship Team,yellow,
Create - 3rd Year Anniversary,2026-05-31,Testimony,13:15,13:25,Richard,orange,
Create - 3rd Year Anniversary,2026-05-31,Short Film / Highlights,13:25,13:35,Nick / Media,blue,
Create - 3rd Year Anniversary,2026-05-31,The Word / Laydown,13:35,14:30,Pastor,red,
Create - 3rd Year Anniversary,2026-05-31,Commitment / Consolidation,14:30,15:00,Welcoming / PM,green,
